link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017-2018/37670714?pos=d37670714g:&np=2;54,99;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2017/2018;56240 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2018/37095843?pos=e37095843g:&np=2;51,89;1;1.0 COMFORT 12V FLEX 4P MANUAL;2018/2018;39000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/37117066?pos=f37117066g:&np=2;57,79;1;1.0 12V FLEX SENSE MANUAL;2019/2020;40000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2014/37131193?pos=g37131193a:&np=2;44,9;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2014/2014;43500 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37236995?pos=h37236995g:&np=2;50,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;37723 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37240446?pos=i37240446g:&np=2;55,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;17150 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37249297?pos=j37249297g:&np=2;48,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2017;55000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-limited-16v-flex-4p-automatico/4-portas/2018/37255997?pos=k37255997g:&np=2;76,9;1;1.6 R SPEC LIMITED 16V FLEX 4P AUTOMÁTICO;2018/2018;48000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/37674620?pos=l37674620g:&np=2;51,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2018;53195 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/37354488?pos=m37354488g:&np=2;48,89;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2018;29000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2014-2015/37373277?pos=n37373277g:&np=2;43,48;1;1.0 COMFORT 12V FLEX 4P MANUAL;2014/2015;52370 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2018/37674496?pos=o37674496g:&np=2;69,9;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2018/2018;16064 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2020-2021/37447760?pos=p37447760g:&np=2;65,0;1;1.0 12V FLEX VISION MANUAL;2020/2021;8752 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/3-portas/2019-2020/37467790?pos=q37467790g:&np=2;74,9;1;1.0 TGDI FLEX EVOLUTION AUTOMÁTICO;2019/2020;33000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2013/37484577?pos=r37484577m:&np=2;44,89;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2013/2013;189000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/37505583?pos=s37505583g:&np=2;43,99;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2016;83000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2019-2020/37513737?pos=t37513737g:&np=2;60,9;1;1.0 12V FLEX VISION MANUAL;2019/2020;10655 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37669553?pos=u37669553g:&np=2;47,79;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2015;99533 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558408?pos=v37558408m:&np=2;63,39;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558458?pos=w37558458m:&np=2;61,89;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558890?pos=x37558890m:&np=2;61,89;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558943?pos=a37558943m:&np=3;63,39;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/37559294?pos=b37559294m:&np=3;66,99;1;1.0 12V FLEX VISION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-diamond-automatico/4-portas/2021-2022/37559526?pos=c37559526m:&np=3;93,19;1;1.0 TGDI FLEX DIAMOND AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559811?pos=d37559811m:&np=3;90,69;1;1.0 TGDI FLEX SPORT AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559893?pos=e37559893m:&np=3;90,69;1;1.0 TGDI FLEX SPORT AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559972?pos=f37559972m:&np=3;90,69;1;1.0 TGDI FLEX SPORT AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560215?pos=g37560215m:&np=3;83,09;1;1.6 16V FLEX VISION AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-manual/4-portas/2021-2022/37560289?pos=h37560289m:&np=3;78,29;1;1.6 16V FLEX VISION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560328?pos=i37560328m:&np=3;83,59;1;1.6 16V FLEX VISION AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560564?pos=j37560564m:&np=3;83,59;1;1.6 16V FLEX VISION AUTOMÁTICO;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2015-2016/37575128?pos=k37575128g:&np=3;53,99;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2015/2016;41922 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2013/37584257?pos=l37584257g:&np=3;44,89;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2013/2013;189000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37593682?pos=m37593682g:&np=3;51,0;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;9699 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/3-portas/2016/37597084?pos=n37597084g:&np=3;46,5;1;1.0 COMFORT 12V FLEX 4P MANUAL;2016/2016;43648 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2020-2021/37612450?pos=o37612450g:&np=3;64,9;1;1.0 12V FLEX VISION MANUAL;2020/2021;9528 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2017/37665133?pos=p37665133g:&np=3;55,9;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2017/2017;40143 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37616604?pos=q37616604g:&np=3;47,79;1;1.0 COMFORT 12V FLEX 4P MANUAL;2015/2015;99533 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37626248?pos=r37626248g:&np=3;58,99;1;1.0 12V FLEX SENSE MANUAL;2020/2021;4600 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2015-2016/37629918?pos=s37629918g:&np=3;54,99;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2015/2016;95000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020-2021/37639234?pos=t37639234g:&np=3;62,9;1;1.0 12V FLEX SENSE MANUAL;2020/2021;4800 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37674533?pos=u37674533g:&np=3;55,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;18081 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/3-portas/2013/37645298?pos=v37645298g:&np=3;40,99;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2013/2013;88000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-style-12v-flex-4p-manual/3-portas/2015-2016/37652410?pos=w37652410g:&np=3;46,89;1;1.0 COMFORT STYLE 12V FLEX 4P MANUAL;2015/2016;65678 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37652971?pos=x37652971m:&np=3;45,991;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2017;78512 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2013-2014/37659351?pos=a37659351a:&np=4;40,9;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2013/2014;108500 km
