ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2015/2015;68.100;Manual;Hatchback;Gasolina;7;Branco;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2015/37186017?pos=a37186017b:&np=11;;;;
2015/2015;65.000;Automática;Hatchback;Gasolina e álcool;0;Cinza;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-automatico/4-portas/2015/30175419?pos=d30175419b:&np=11;Sim;;;
2017/2017;69.950;Manual;Hatchback;Gasolina e álcool;3;Preto;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37128674?pos=e37128674b:&np=11;;;;
2016/2016;98.000;Automática;Hatchback;Gasolina e álcool;6;Preto;;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-automatico/4-portas/2016/24801617?pos=f24801617b:&np=11;;;;
2019/2019;18.000;Manual;Hatchback;Gasolina e álcool;7;Preto;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/0-portas/2019/37303542?pos=g37303542b:&np=11;;;;
2016/2016;20.000;Automática;Hatchback;Gasolina e álcool;0;Preto;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2016/37341230?pos=h37341230b:&np=11;Sim;Sim;;
2016/2016;75.000;Automática;Hatchback;Gasolina e álcool;6;Prata;;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2016/37353536?pos=i37353536b:&np=11;Sim;Sim;;
2012/2013;100.000;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-16v-flex-4p-manual/4-portas/2012-2013/37377170?pos=j37377170b:&np=11;;;;
2012/2013;100.000;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-16v-flex-4p-manual/4-portas/2012-2013/37377170?pos=j37377170b:&np=11;;;;
2017/2018;9.536;Manual;Hatchback;Gasolina e álcool;4;Prata;;Sim;Sim;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/0-portas/2017-2018/37396003?pos=l37396003b:&np=11;Sim;Sim;;
2017/2018;9.536;Manual;Hatchback;Gasolina e álcool;4;Prata;;Sim;Sim;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/0-portas/2017-2018/37396003?pos=l37396003b:&np=11;Sim;Sim;;
2019/2020;485;Manual;Hatchback;Gasolina e álcool;3;Cinza;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2019-2020/37427017?pos=n37427017m:&np=11;;;;
2019/2020;890;Manual;Hatchback;Gasolina e álcool;1;Cinza;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-evolution-manual/4-portas/2019-2020/37427016?pos=o37427016m:&np=11;;;;
2016/2017;52.800;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2016-2017/37427215?pos=p37427215m:&np=11;;;;
2015/2015;62.950;Manual;Hatchback;Gasolina;2;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2015/37438263?pos=q37438263b:&np=11;;;;
2017/2017;84.000;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017/37099583?pos=r37099583b:&np=11;Sim;;;
2019/2019;19.000;Automática;Hatchback;Gasolina e álcool;3;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2019/37109436?pos=s37109436b:&np=11;Sim;Sim;;
2015/2015;32.000;Automática;Hatchback;Gasolina e álcool;1;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37475515?pos=t37475515b:&np=11;Sim;Sim;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2015/2015;54.500;Automática;Hatchback;Gasolina e álcool;7;Branco;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/37045572?pos=u37045572a:&np=11;Sim;;;
2018/2018;39.000;Manual;Hatchback;Gasolina e álcool;1;Marrom;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018/37497851?pos=d37497851b:&np=12;;Sim;;
2016/2016;54.000;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/0-portas/2016/37502413?pos=e37502413b:&np=12;Sim;Sim;;
2016/2016;54.000;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/0-portas/2016/37502413?pos=e37502413b:&np=12;Sim;Sim;;
2020/2021;2.900;Manual;Hatchback;Gasolina e álcool;6;Preto;;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/0-portas/2020-2021/37524100?pos=g37524100b:&np=12;;Sim;;
2020/2021;2.900;Manual;Hatchback;Gasolina e álcool;6;Preto;;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/0-portas/2020-2021/37524100?pos=g37524100b:&np=12;;Sim;;
2019/2019;14.470;Manual;Hatchback;Gasolina e álcool;7;Preto;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37103660?pos=i37103660b:&np=12;Sim;Sim;;
2018/2019;28.053;Manual;Hatchback;Gasolina e álcool;4;Preto;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/36598490?pos=j36598490g:&np=12;;Sim;;
2018/2019;28.053;Manual;Hatchback;Gasolina e álcool;4;Preto;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/36598490?pos=j36598490g:&np=12;;Sim;;
2018/2019;28.053;Manual;Hatchback;Gasolina e álcool;4;Preto;Sim;;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/36598490?pos=j36598490g:&np=12;;Sim;;
2019/2019;47.100;Manual;Hatchback;Gasolina e álcool;2;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36448847?pos=m36448847m:&np=12;;;;
2019/2019;47.100;Manual;Hatchback;Gasolina e álcool;2;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36448847?pos=m36448847m:&np=12;;;;
2018/2018;41.000;Manual;Hatchback;Gasolina e álcool;2;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/3-portas/2018/36599139?pos=o36599139m:&np=12;;;;
2021/2021;0;Automática;Hatchback;Gasolina e álcool;;Prata;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-diamond-plus-automatico/4-portas/2021/36066974?pos=p36066974m:&np=12;;;Sim;
2021/2021;0;Automática;Hatchback;Gasolina e álcool;;Prata;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/4-portas/2021/36066145?pos=q36066145m:&np=12;;;Sim;
2014/2014;70.000;Automática;Hatchback;Gasolina e álcool;1;Preto;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2014/36235941?pos=r36235941a:&np=12;;;;
2014/2014;70.000;Automática;Hatchback;Gasolina e álcool;1;Preto;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2014/36235941?pos=r36235941a:&np=12;;;;
2019/2019;32.665;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36137126?pos=t36137126g:&np=12;;Sim;;
2019/2019;32.665;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36137126?pos=t36137126g:&np=12;;Sim;;
2019/2019;36.000;Manual;Hatchback;Gasolina e álcool;2;Prata;Sim;;;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36459094?pos=v36459094g:&np=12;;;;
2017/2017;55.000;Manual;Hatchback;Gasolina e álcool;3;Prata;;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017/36087256?pos=w36087256a:&np=12;;;;
2013/2014;81.000;Manual;Hatchback;Gasolina e álcool;1;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013-2014/36625968?pos=x36625968g:&np=12;;Sim;;
2019/2019;47.940;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36625116?pos=a36625116g:&np=13;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Indefinida;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36556658?pos=b36556658g:&np=13;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Indefinida;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36556515?pos=c36556515g:&np=13;;;;
2016/2016;138.000;Manual;Hatchback;Gasolina e álcool;8;Prata;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-style-12v-flex-4p-manual/4-portas/2016/35995509?pos=d35995509a:&np=13;Sim;Sim;;
2013/2014;96.700;Manual;Hatchback;Gasolina e álcool;2;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2013-2014/36268860?pos=e36268860g:&np=13;;;;
2018/2019;36.496;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36459229?pos=f36459229g:&np=13;;Sim;;
2016/2017;117.000;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;;;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2016-2017/36559001?pos=g36559001g:&np=13;;Sim;;
2016/2017;44.336;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/36559379?pos=h36559379m:&np=13;;;;
2016/2017;44.336;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/36559379?pos=h36559379m:&np=13;;;;
2013/2013;72.000;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2013/36573403?pos=j36573403g:&np=13;;;Sim;
2018/2018;45.500;Manual;Hatchback;Gasolina e álcool;1;Prata;;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018/36378230?pos=k36378230a:&np=13;;;;Sim
2018/2018;45.500;Manual;Hatchback;Gasolina e álcool;1;Prata;;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018/36378230?pos=k36378230a:&np=13;;;;Sim
2018/2018;45.500;Manual;Hatchback;Gasolina e álcool;1;Prata;;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018/36378230?pos=k36378230a:&np=13;;;;Sim
2021/2021;0;Manual;Hatchback;Gasolina e álcool;;Prata;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/36333407?pos=n36333407g:&np=13;;;;
2017/2018;63.000;Automática;Hatchback;Gasolina e álcool;9;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2017-2018/28144899?pos=o28144899a:&np=13;Sim;Sim;;
2017/2018;63.000;Automática;Hatchback;Gasolina e álcool;9;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2017-2018/28144899?pos=o28144899a:&np=13;Sim;Sim;;
2017/2018;63.000;Automática;Hatchback;Gasolina e álcool;9;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2017-2018/28144899?pos=o28144899a:&np=13;Sim;Sim;;
2016/2016;100.000;Manual;Hatchback;Gasolina e álcool;4;Dourado;Sim;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2016/36292074?pos=r36292074a:&np=13;Sim;Sim;;
2019/2020;101;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36078277?pos=s36078277g:&np=13;;;;
2021/2021;0;Manual;Hatchback;Gasolina e álcool;0;Preto;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021/35870304?pos=t35870304g:&np=13;;;;
2017/2017;55.000;Manual;Hatchback;Gasolina e álcool;9;Prata;;Sim;;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-turbo-flex-4p-manual/0-portas/2017/36006298?pos=u36006298a:&np=13;Sim;;;Sim
2017/2018;100.000;Manual;Hatchback;Gasolina e álcool;5;Cinza;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/36477194?pos=v36477194g:&np=13;;;;
2018/2019;58.298;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36363438?pos=w36363438g:&np=13;;;;
2018/2019;58.298;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36363438?pos=w36363438g:&np=13;;;;
2018/2019;58.298;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36363438?pos=w36363438g:&np=13;;;;
2018/2019;58.298;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36363438?pos=w36363438g:&np=13;;;;
2019/2019;50.000;Manual;Hatchback;Gasolina e álcool;8;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36141108?pos=c36141108g:&np=14;;;;
2019/2019;50.000;Manual;Hatchback;Gasolina e álcool;8;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36141108?pos=c36141108g:&np=14;;;;
2019/2019;50.000;Manual;Hatchback;Gasolina e álcool;8;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36141108?pos=c36141108g:&np=14;;;;
2017/2018;15.760;Manual;Hatchback;Gasolina e álcool;1;Prata;;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/34686051?pos=f34686051a:&np=14;Sim;Sim;;
2017/2018;15.760;Manual;Hatchback;Gasolina e álcool;1;Prata;;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/34686051?pos=f34686051a:&np=14;Sim;Sim;;
2017/2018;15.760;Manual;Hatchback;Gasolina e álcool;1;Prata;;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/34686051?pos=f34686051a:&np=14;Sim;Sim;;
2013/2013;80.000;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013/32148201?pos=i32148201a:&np=14;;Sim;;
2013/2013;80.000;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013/32148201?pos=i32148201a:&np=14;;Sim;;
2015/2016;34.000;Manual;Hatchback;Gasolina e álcool;8;Branco;;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2015-2016/36409850?pos=k36409850a:&np=14;;Sim;;
2016/2017;76.000;Manual;Hatchback;Gasolina e álcool;2;Preto;;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/35468177?pos=l35468177a:&np=14;;Sim;;
2016/2017;76.000;Manual;Hatchback;Gasolina e álcool;2;Preto;;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/35468177?pos=l35468177a:&np=14;;Sim;;
2016/2017;78.000;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/36663053?pos=n36663053g:&np=14;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Indefinida;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/36663450?pos=o36663450g:&np=14;;;;
2015/2016;59.000;Manual;Hatchback;Gasolina e álcool;3;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/36671242?pos=p36671242g:&np=14;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;4;Bege;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36705688?pos=q36705688m:&np=14;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;4;Bege;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36705688?pos=q36705688m:&np=14;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Indefinida;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/4-portas/2021-2022/36716995?pos=s36716995g:&np=14;;;;
2019/2019;51.668;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2019/36720995?pos=t36720995g:&np=14;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36741146?pos=u36741146g:&np=14;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;0;Preto;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36741174?pos=v36741174g:&np=14;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;0;Preto;Sim;;;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36757058?pos=w36757058g:&np=14;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36757055?pos=x36757055g:&np=14;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;0;Vermelho;Sim;;;;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36757579?pos=a36757579g:&np=15;;Sim;;
2015/2015;87.000;Manual;Hatchback;Gasolina e álcool;1;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/3-portas/2015/36763755?pos=b36763755g:&np=15;;;;
2017/2017;115.000;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017/36770944?pos=c36770944g:&np=15;;;;
2017/2017;115.000;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017/36770944?pos=c36770944g:&np=15;;;;
2013/2013;82.000;Manual;Hatchback;Gasolina e álcool;9;Cinza;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-16v-flex-4p-manual/4-portas/2013/36774537?pos=e36774537g:&np=15;;Sim;;
2014/2014;67.000;Manual;Hatchback;Gasolina e álcool;6;Prata;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2014/36775266?pos=f36775266g:&np=15;;Sim;;
2017/2018;63.300;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017-2018/36777407?pos=g36777407g:&np=15;;Sim;;
2017/2018;63.300;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017-2018/36777407?pos=g36777407g:&np=15;;Sim;;
2017/2018;63.300;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017-2018/36777407?pos=g36777407g:&np=15;;Sim;;
2017/2018;63.300;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017-2018/36777407?pos=g36777407g:&np=15;;Sim;;
2017/2018;63.300;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017-2018/36777407?pos=g36777407g:&np=15;;Sim;;
2017/2018;63.300;Manual;Hatchback;Gasolina e álcool;5;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2017-2018/36777407?pos=g36777407g:&np=15;;Sim;;
