ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2019/2019;41.150;Manual;Hatchback;Gasolina e álcool;5;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36586213?pos=x36586213g:&np=1;;Sim;;
2014/2015;50.500;Manual;Hatchback;Gasolina e álcool;4;Cinza;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2014-2015/36442195?pos=a36442195c:&np=2;Sim;Sim;;
2014/2015;50.500;Manual;Hatchback;Gasolina e álcool;4;Cinza;;Sim;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-manual/4-portas/2014-2015/36442195?pos=a36442195c:&np=2;Sim;Sim;;
2019/2019;41.678;Manual;Hatchback;Gasolina e álcool;2;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/34434434?pos=c34434434g:&np=2;;Sim;;
2019/2019;40.259;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/34640335?pos=d34640335g:&np=2;;Sim;;
2019/2019;54.814;Manual;Hatchback;Gasolina e álcool;1;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36363405?pos=e36363405g:&np=2;;Sim;;
2019/2019;47.941;Manual;Hatchback;Gasolina e álcool;9;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36509824?pos=f36509824g:&np=2;;Sim;;
2017/2018;75.087;Manual;Hatchback;Gasolina e álcool;0;Prata;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/36143577?pos=g36143577g:&np=2;;Sim;;
2019/2019;42.511;Manual;Hatchback;Gasolina e álcool;4;Branco;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36143586?pos=h36143586g:&np=2;;Sim;;
2017/2017;49.980;Manual;Hatchback;Gasolina e álcool;7;Cinza;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/36449710?pos=i36449710c:&np=2;;Sim;;
2017/2017;92.000;Manual;Hatchback;Gasolina e álcool;4;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/35075720?pos=j35075720c:&np=2;;;;
2016/2017;27.000;Manual;Hatchback;Gasolina e álcool;4;Marrom;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/30988406?pos=k30988406c:&np=2;;;;
2018/2019;8.815;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2018-2019/30906512?pos=l30906512c:&np=2;Sim;Sim;;
2018/2019;8.815;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2018-2019/30906512?pos=l30906512c:&np=2;Sim;Sim;;
2019/2019;54.814;Manual;Hatchback;Gasolina e álcool;1;Prata;Sim;;Sim;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36659371?pos=n36659371g:&np=2;;Sim;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;7;Bege;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36705663?pos=o36705663m:&np=2;;;;
2019/2019;56.661;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36745454?pos=p36745454g:&np=2;;Sim;;
