ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;link;ipva_pago;alienado;licenciado;nao_identificado;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;garantia_de_fabrica
2019/2020;26.000;Manual;Hatchback;Gasolina e álcool;1;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36929980?pos=a36929980g:&np=2;Sim;;Sim;;;Sim;
2019/2019;32.576;Manual;Hatchback;Gasolina e álcool;7;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36987787?pos=b36987787g:&np=2;;;;;;;
2013/2014;88.000;Manual;Hatchback;Gasolina e álcool;0;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013-2014/36997362?pos=c36997362g:&np=2;;;;;;;
2017/2018;56.240;Manual;Hatchback;Gasolina e álcool;1;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017-2018/37670714?pos=d37670714g:&np=2;Sim;;Sim;;;Sim;
2018/2018;39.000;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2018/37095843?pos=e37095843g:&np=2;;;;;;Sim;Sim
2019/2020;40.000;Manual;Hatchback;Gasolina e álcool;8;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/37117066?pos=f37117066g:&np=2;;;;;;;
2014/2014;43.500;Manual;Hatchback;Gasolina;9;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2014/37131193?pos=g37131193a:&np=2;Sim;;Sim;;;;
2019/2019;37.723;Manual;Hatchback;Gasolina e álcool;1;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37236995?pos=h37236995g:&np=2;;;;;;;
2018/2019;17.150;Manual;Hatchback;Gasolina e álcool;4;Preto;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37240446?pos=i37240446g:&np=2;Sim;;Sim;;;;Sim
2017/2017;55.000;Manual;Hatchback;Gasolina e álcool;5;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37249297?pos=j37249297g:&np=2;;;;;;;
2018/2018;48.000;Automática;Hatchback;Gasolina e álcool;9;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-limited-16v-flex-4p-automatico/4-portas/2018/37255997?pos=k37255997g:&np=2;;;;;;;
2017/2018;53.195;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/37674620?pos=l37674620g:&np=2;;;;;;;
2017/2018;29.000;Manual;Hatchback;Gasolina e álcool;8;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/37354488?pos=m37354488g:&np=2;Sim;;Sim;;;Sim;Sim
2014/2015;52.370;Manual;Hatchback;Gasolina e álcool;0;Vermelho;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2014-2015/37373277?pos=n37373277g:&np=2;;;;;;;
2018/2018;16.064;Automática;Hatchback;Gasolina e álcool;2;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2018/37674496?pos=o37674496g:&np=2;;;;;;;
2020/2021;8.752;Manual;Hatchback;Gasolina e álcool;9;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2020-2021/37447760?pos=p37447760g:&np=2;;;;;;;
2019/2020;33.000;Automática;Hatchback;Gasolina e álcool;1;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/3-portas/2019-2020/37467790?pos=q37467790g:&np=2;;;;;;;
2013/2013;189.000;Automática;Hatchback;Gasolina e álcool;9;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2013/37484577?pos=r37484577m:&np=2;Sim;;Sim;;Sim;;
2015/2016;83.000;Manual;Hatchback;Gasolina e álcool;6;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015-2016/37505583?pos=s37505583g:&np=2;;;;;;;
2019/2020;10.655;Manual;Hatchback;Gasolina e álcool;8;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2019-2020/37513737?pos=t37513737g:&np=2;;;;;;;
2015/2015;99.533;Manual;Hatchback;Gasolina e álcool;4;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2015/37669553?pos=u37669553g:&np=2;Sim;;Sim;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558408?pos=v37558408m:&np=2;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558458?pos=w37558458m:&np=2;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558890?pos=x37558890m:&np=2;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Prata;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/37558943?pos=a37558943m:&np=3;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/37559294?pos=b37559294m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Cinza;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-diamond-automatico/4-portas/2021-2022/37559526?pos=c37559526m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559811?pos=d37559811m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559893?pos=e37559893m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Vermelho;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-sport-automatico/4-portas/2021-2022/37559972?pos=f37559972m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560215?pos=g37560215m:&np=3;;;;;;;
2021/2022;0;Manual;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-manual/4-portas/2021-2022/37560289?pos=h37560289m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560328?pos=i37560328m:&np=3;;;;;;;
2021/2022;0;Automática;Hatchback;Gasolina e álcool;;Branco;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/37560564?pos=j37560564m:&np=3;;;;;;;
2015/2016;41.922;Automática;Hatchback;Gasolina e álcool;4;Preto;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2015-2016/37575128?pos=k37575128g:&np=3;Sim;;Sim;;;;
2013/2013;189.000;Automática;Hatchback;Gasolina e álcool;9;Prata;Sim;Sim;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2013/37584257?pos=l37584257g:&np=3;Sim;;Sim;;;;
