link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/37376029?pos=l37376029m:&np=13;45,99;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2017;29500 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2012-2013/37377170?pos=m37377170b:&np=13;35,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2012/2013;100000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-16v-flex-4p-manual/4-portas/2012-2013/18375975?pos=n18375975b:&np=13;26,99;1;1.6 COMFORT 16V FLEX 4P MANUAL;2012/2013;62000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2016-2017/36609572?pos=o36609572m:&np=13;44,99;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2016/2017;111264 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/36598490?pos=p36598490g:&np=13;51,5;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2018/2019;28053 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017-2018/31906024?pos=q31906024a:&np=13;45,0;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2018;42000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-automatico/4-portas/2017/36322424?pos=r36322424g:&np=13;59,9;1;1.6 R SPEC 16V FLEX 4P AUTOMÁTICO;2017/2017;40000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2016/36528633?pos=s36528633a:&np=13;50,0;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2016/2016;80000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2016/36179493?pos=t36179493g:&np=13;51,89;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2016/2016;72000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36448847?pos=u36448847m:&np=13;51,6;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;47100 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-copa-do-mundo-fifa-12v-flex-4p-manual/4-portas/2018-2019/35186936?pos=v35186936a:&np=13;50,8;1;1.0 COPA DO MUNDO FIFA 12V FLEX 4P MANUAL;2018/2019;40000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/3-portas/2018/36599139?pos=w36599139m:&np=13;46,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2018/2018;41000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-diamond-plus-automatico/4-portas/2021/36066974?pos=x36066974m:&np=13;131,2;1;1.0 TGDI FLEX DIAMOND PLUS AUTOMÁTICO;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-tgdi-flex-evolution-automatico/4-portas/2021/36066145?pos=a36066145m:&np=14;124,6;1;1.0 TGDI FLEX EVOLUTION AUTOMÁTICO;2021/2021;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2014/36235941?pos=b36235941a:&np=14;41,0;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2014/2014;70000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2016/36481368?pos=c36481368g:&np=14;47,9;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2016/2016;69000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2013-2014/36186486?pos=d36186486a:&np=14;37,8;1;1.6 COMFORT STYLE 16V FLEX 4P MANUAL;2013/2014;126000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36137126?pos=e36137126g:&np=14;50,8;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;32665 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2018/36242670?pos=f36242670g:&np=14;44,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2018/2018;178000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36459094?pos=g36459094g:&np=14;48,99;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;36000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017/36087256?pos=h36087256a:&np=14;49,9;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2017/2017;55000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013-2014/36625968?pos=i36625968g:&np=14;37,9;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2013/2014;81000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36625116?pos=j36625116g:&np=14;49,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;47940 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2021-2022/36556658?pos=k36556658g:&np=14;60,99;1;1.0 12V FLEX VISION MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2021-2022/36556515?pos=l36556515g:&np=14;59,99;1;1.0 12V FLEX SENSE MANUAL;2021/2022;0 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-style-12v-flex-4p-manual/4-portas/2016/35995509?pos=m35995509a:&np=14;37,0;1;1.0 COMFORT STYLE 12V FLEX 4P MANUAL;2016/2016;138000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2013-2014/36268860?pos=n36268860g:&np=14;37,9;1;1.0 COMFORT 12V FLEX 4P MANUAL;2013/2014;96700 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-vision-manual/4-portas/2019-2020/36284780?pos=o36284780g:&np=14;53,99;1;1.0 12V FLEX VISION MANUAL;2019/2020;60500 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36459229?pos=p36459229g:&np=14;48,99;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;36496 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2017/35793845?pos=q35793845g:&np=14;45,8;1;1.0 COMFORT 12V FLEX 4P MANUAL;2017/2017;47660 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/36559379?pos=r36559379m:&np=14;46,6;1;1.0 COMFORT 12V FLEX 4P MANUAL;2016/2017;44336 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-automatico/4-portas/2016-2017/36503135?pos=s36503135g:&np=14;54,99;1;1.6 COMFORT STYLE 16V FLEX 4P AUTOMÁTICO;2016/2017;70000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-manual/4-portas/2017-2018/36397207?pos=t36397207m:&np=14;60,0;1;1.6 COMFORT PLUS 16V FLEX 4P MANUAL;2017/2018;72781 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-manual/4-portas/2013/36573403?pos=u36573403g:&np=14;53,9;1;1.6 COMFORT STYLE 16V FLEX 4P MANUAL;2013/2013;72000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018/36378230?pos=v36378230a:&np=14;46,5;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2018/2018;45500 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36259282?pos=w36259282g:&np=14;50,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;46000 km
